COUNTRY	longitude	latitude
American Samoa	-170.7007316	-14.30571199
United States Minor Outlying Islands	166.63800339749642	19.302045812215958
Cook Islands	-159.7876887	-21.22261325
French Polynesia	-149.4004167	-17.67468408
Niue	-169.8687811	-19.05230922
Pitcairn	-128.3149849	-24.36612175
Samoa	-172.4410766	-13.63425295
Tokelau	-171.8526595	-9.195174767
Tonga	-175.2041588	-21.15927213
Wallis and Futuna	-178.1273556	-14.28344231
El Salvador	-88.85911489	13.758041517055418
Guatemala	-90.31219349	15.820878515352684
Mexico	-101.5539973	23.87436068093592
Canada	-98.41680518	57.550480044655636
Argentina	-64.53238504	-35.69727052
Falkland Islands	-58.74664636	-51.75901313
Chile	-70.76863432	-37.82938283
Ecuador	-78.46303261	-1.564272139
Peru	-74.11416197	-8.522717984
Bolivia	-64.45209598	-16.73124884
Brazil	-54.35520661	-11.52463042
Paraguay	-58.38906357	-23.42190559
Uruguay	-56.01919523	-32.78195044
South Georgia and South Sandwich Islands	-36.77509576	-54.37666444
Antarctica	-177.5645161	-77.16987521
Fiji	177.98144613732626	-17.82247095
Saint Helena	-5.717391621	-15.96296332
Anguilla	-63.06008344	18.222874004219086
Antigua and Barbuda	-61.78530823	17.07146759372967
Aruba	-69.97564014	12.515625722992898
Bahamas	-78.0727537	24.72162633646784
Barbados	-59.55738395	13.183219369337529
Belize	-88.6827351	17.24252476647155
Bermuda	-64.74585006	32.315067430740726
Bonaire	-68.29350446	12.180844982440338
British Virgin Islands	-64.62406519	18.42195819619707
Cayman Islands	-81.25203209	19.311231805620288
Colombia	-72.64450662	4.187753877352739
Costa Rica	-84.14673626	9.863467407406214
Cuba	-79.69817858	21.476176522869448
Curacao	-68.96939769	12.199996647939832
Dominica	-61.36047195	15.429269860940513
Dominican Republic	-70.43495199	18.77954818522993
French Guiana	-53.32232307	3.857429742497078
Grenada	-61.67937937	12.112926656338907
Guadeloupe	-61.54382262	16.24420002705553
Guyana	-58.91352613	4.682119814
Haiti	-72.8929138	18.883520486983567
Honduras	-86.49251679	14.740370695750006
Jamaica	-77.30358895	18.12207889341651
Martinique	-61.01432381	14.642697353597645
Montserrat	-62.18693281	16.735363391460357
Nicaragua	-85.01608833	12.893566631930554
Panama	-80.14428761	8.439536749576892
Puerto Rico	-66.4942534	18.216224086610914
Saba	-63.23739482	17.632512616389718
Saint Barthelemy	-62.8305161	17.90561691241738
Saint Eustatius	-62.97823059	17.49190423
Saint Kitts and Nevis	-62.74560386	17.314736299587768
Saint Lucia	-60.96895109	13.895749185129906
Saint Martin	-63.06678525	18.078012113224464
Saint Pierre and Miquelon	-56.32465353	46.95153913615198
Saint Vincent and the Grenadines	-61.19376635	13.254808122970651
Sint Maarten	-63.06883136	18.03942608463078
Suriname	-55.85551431	4.098723595920171
Trinidad and Tobago	-61.3723658	10.415515638298093
Turks and Caicos Islands	-71.74058947	21.799865427483745
US Virgin Islands	-64.76155341	17.738009708772523
Venezuela	-66.36492136	7.148324760507107
Burkina Faso	-1.693281621	12.108709036312737
Cabo Verde	-23.63401006	15.076411518651643
Côte d'Ivoire	-5.571710195	7.536779279421307
Gambia	-15.38338039	13.428617959189328
Ghana	-1.219233363	7.945304672
Gibraltar	-5.345549485	36.14022671336082
Guinea	-10.98694885	10.255986541378112
Guinea-Bissau	-14.98018676	11.980075324820504
Liberia	-9.258988935	6.520129794
Mali	-4.346399842	17.168146208584837
Mauritania	-10.49507905	20.466731212820022
Morocco	-8.817212587	28.687598134979325
Portugal	-7.933662184	39.67529214702138
Senegal	-14.61087537	14.228861491763402
Sierra Leone	-11.78656696	8.561330384750587
Greenland	-42.07567788	74.16847218965994
Guernsey	-2.576392583	49.45870771378872
Ireland	-8.241128546	53.30489539816495
Isle of Man	-4.532995055	54.22855301008011
Jersey	-2.129160116	49.215396925724306
United Kingdom	-2.852943909	53.97844735080214
Iceland	-19.05682967	65.12360920205514
Faroe Islands	-6.981106091	62.130896281495346
Svalbard	16.036378851505283	78.57318936469626
Bouvet Island	3.411969465057627	-54.42316679
New Zealand	170.69035541428696	-43.82765433
Angola	17.65176878	-12.16742406
Botswana	23.85779956995608	-22.236609
Burundi	29.88518227845293	-3.261251993
Comoros	43.34826587429403	-11.65886147
Congo	14.879732849491393	-0.72943916
Congo DRC	23.419827574282188	-3.338629596
Gabon	11.839410898545754	-0.62844846
Kenya	37.95309411262371	0.6899182318376179
Lesotho	28.24475317864227	-29.60168117
Malawi	34.23441182298881	-13.12898646
Juan De Nova Island	42.74374761089645	-17.06449194
Mozambique	35.208577031290176	-17.52523031
Namibia	18.16451345845268	-21.90858163
Rwanda	29.919439681764082	-2.01468746
Sao Tome and Principe	6.606158796857607	0.22744704294793774
South Africa	24.75252746489084	-28.55361931
Eswatini	31.510685746082007	-26.56254094
Tanzania	34.81832206060381	-6.35579444
Zambia	27.75521363430896	-13.16283295
Zimbabwe	29.717829640720844	-18.92700122
British Indian Ocean Territory	72.43501618476016	-7.323548444
French Southern Territories	69.54686984724839	-49.26329687
Heard Island and McDonald Islands	73.49298560844045	-53.08417004
Madagascar	46.68493466832544	-19.04163612
Mauritius	57.56415671066546	-20.28142317
Mayotte	45.128142327031064	-12.82446842
Glorioso Islands	47.290948081543384	-11.56622487
Réunion	55.54393506194689	-21.11982546
Seychelles	55.47250789595527	-4.660002319
Algeria	2.6558464719769135	28.350969744889056
Benin	2.305714528830206	9.503013199615893
Cameroon	12.948474142398263	6.294168487480992
Central African Republic	20.520743419397256	6.331390033944319
Chad	18.427113900363025	15.283493546654503
Equatorial Guinea	10.425456672353823	1.5954643936590733
Kiribati	-157.3902419	1.8676673749241066
Libya	17.91133392454237	27.202915771690794
Malta	14.441922442508494	35.890522650899314
Niger	8.86863247	17.08105392407292
Nigeria	8.147714845256194	9.61029352
Togo	0.8990857571109684	8.660743037717811
Tunisia	9.655875517	34.08636179565723
Cyprus	33.375346009199205	35.11700416345239
