Sample Name	Strain Mixture?	Proportion Heterozygous SNP calls	Barcode Length	UDG Treatment	Nr. Input Reads	Reads Retained Following Poly-G Trimming	Retained Following Demultiplexing	Percentage Retained Following Demultiplexing	Nr. Reads Into Mapping	Nr. Mapped Reads	Endogenous DNA ()	Nr. Mapped Reads Passed Post-Filter	Endogenous DNA Post ()	 Dup. Mapped Reads	5 Prime C>T 1st base (Loose mapping parameters)	5 Prime C>T 2nd base (Loose mapping parameters)	Mean Length Mapped Reads (Loose mapping parameters)	Median read length (Loose mapping parameters)	5 Prime C>T 1st base- Human Mapping	5 Prime C>T 2nd base- Human Mapping	Mean Length Mapped Reads- Human Mapping	Median read length- Human Mapping	Nr. Reads Into Mapping	Nr. Mapped Reads	Endogenous DNA ()	Nr. Mapped Reads Passed Post-Filter	Endogenous DNA Post ()	 Dup. Mapped Reads	Mean Length Mapped Reads (Loose mapping parameters)	Median read length (Loose mapping parameters)	Reads retained after MALT filtering	Nr. Mapped Reads	Nr. Mapped Reads Passed Post-Filter	 Dup. Mapped Reads	5 Prime C>T 1st base	5 Prime C>T 2nd base	Mean Length Mapped Reads	Median read length	Nr. Dedup. Mapped Reads	Mean cov	Median cov	≥ 1X	≥ 2X	≥ 3X	≥ 4X	≥ 5X	 GC Dedup. Mapped Reads
XXX001.A161114.SM1	-	-	5bp	half	6,283,331	6,023,154	5,731,935	95.17	6,105,307	2,230,217	36.53	2,095,346	34.32	99.8	4.3	3.2	73.83bp	71.00bp	4.2	1.5	68.13bp	66.00bp	6,105,307	2,161,018	35.40	2,004,909	32.84	99.8%	69.89bp	67.00bp	2,003,870	1,880,933	1,788,784	99.8	2.1	1.5	71.55bp	67.00bp	3,971	0.1	0.0	10.7	2.4	0.6	0.1	0	38
XXX001.A161116.SM1	-	-	5bp	half	6,278,660	6,049,479	5,661,802	93.59	6,206,236	3,048,485	49.12	2,915,577	46.98	99.8	6.6	2.3	75.39bp	71.00bp	3.9	0.8	74.75bp	71.00bp	6,206,236	2,984,347	48.09	2,822,596	45.48	99.8%	71.66bp	67.00bp	2,714,792	2,592,802	2,491,066	99.8	1.8	1.4	73.06bp	67.00bp	5,773	0.2	0.0	15.4	4	1	0.3	0	39
XXX001.A161133.SM1	-	-	5bp	half	8,712,665	8,706,916	8,090,217	92.92	8,045,716	1,624,606	20.19	1,337,161	16.62	99.1	13.8	1.7	57.30bp	53.00bp	11.8	1	53.22bp	49.00bp	8,045,716	1,531,007	19.03	1,290,400	16.04	99.1%	53.48bp	49.00bp	1,216,877	1,118,589	1,069,868	99.2	1.3	0.6	55.05bp	51.00bp	8,869	0.2	0.0	18.5	4.1	1	0.2	0.1	39
XXX001.A161384.SM1	-	-	7bp	half	7,763,305	7,721,622	6,801,677	88.09	5,902,273	2,216,630	37.56	2,002,575	33.93	99.4	4.7	2.1	64.29bp	67.00bp	5.7	0.9	55.41bp	51.00bp	5,902,273	2,127,035	36.04	1,906,364	32.30	99.4%	60.53bp	63.00bp	1,814,863	1,689,024	1,608,620	99.4	0.8	0.7	62.41bp	65.00bp	9,314	0.3	0.0	21.2	5.2	1.5	0.4	0.1	38
XXX001.A161110.SM1	-	-	5bp	half	6,617,298	6,282,797	5,846,996	93.06	6,424,679	2,034,352	31.66	1,847,565	28.76	99.2	8.5	1.6	76.02bp	71.00bp	11.4	1.5	67.19bp	65.00bp	6,424,679	1,938,056	30.17	1,768,620	27.53	99.2%	72.45bp	67.00bp	1,740,311	1,606,356	1,545,296	99.2	1.2	1.2	73.82bp	67.00bp	11,842	0.4	0.0	30.7	8.9	2.4	0.7	0.2	39
XXX001.A161176.SM1	-	-	5bp	half	7,367,606	7,359,412	6,879,302	93.48	6,625,563	2,033,956	30.7	1,815,201	27.4	98.8	8	1.3	61.89bp	58.00bp	9	1	58.20bp	54.00bp	6,625,563	1,958,983	29.57	1,751,449	26.43	98.8%	58.07bp	54.00bp	1,589,256	1,527,185	1,463,937	98.9	0.7	0.6	60.00bp	56.00bp	16,517	0.5	0.0	33.2	10.7	3.3	0.9	0.3	40
XXX001.A161330.SM1	-	-	7bp	half	5,302,997	5,265,171	3,447,359	65.47	3,706,968	709,250	19.13	433,782	11.7	93	8.7	1.8	69.15bp	69.00bp	15.3	2.2	58.41bp	55.00bp	3,706,968	582,276	15.71	360,888	9.74	93.2%	65.26bp	65.00bp	326,457	286,090	274,171	93.9	0.7	0.7	68.02bp	65.00bp	16,643	0.6	0.0	35.1	12.7	4.1	1.3	0.4	40
XXX001.A161203.SM1	-	-	5bp	half	7,106,384	7,099,814	6,569,395	92.53	6,268,215	2,205,935	35.19	1,970,825	31.44	98.7	7.3	1.8	66.49bp	66.00bp	9.5	1.5	52.42bp	47.00bp	6,268,215	2,118,162	33.79	1,888,997	30.14	98.7%	62.74bp	62.00bp	1,773,584	1,635,964	1,575,493	98.8	1.2	0.8	64.98bp	66.00bp	19,281	0.6	0.0	39.6	14.9	4.8	1.5	0.4	38
FUT008.A0102.SM1	-	-	-	half	6,748,073	-	-	-	6,528,576	595,513	9.12	407,414	6.24	91.6	8.2	1.4	51.09bp	46.00bp	9.7	1.3	53.93bp	44.00bp	6,528,576	539,266	8.26	383,515	5.87	91.5%	47.01bp	42.00bp	355,195	330,728	311,939	92.1	0.9	0.6	48.59bp	43.00bp	24,522	0.6	0.0	37.5	14.1	4.7	1.4	0.4	40
TON003.A0102.SM1	-	-	-	half	7,208,095	-	-	-	6,650,469	376,317	5.66	150,768	2.27	69.5	19.2	1.5	50.50bp	46.00bp	0.3	0.2	77.95bp	76.00bp	6,650,469	303,065	4.56	141,788	2.13	69.0%	46.38bp	42.00bp	127,410	117,741	110,886	70.2	0.6	0.6	47.63bp	43.00bp	33,075	0.8	0.0	43.1	19.8	8.5	3.5	1.3	40
