Gene Name	Virulence Class	Mu et al. Core?
gbpB	Adhesion	no
SMU_45	TCS	no
SMU_46	TCS	no
SMU_61	Competence	yes
fruA	Acidogenicity	no
dnaK	Acidurity	yes
SMU_150	mutacin	no
SMU_151	mutacin	no
SMU_152	mutacin	no
sloR	Acidurity	yes
oppD	Competence	yes
SMU_283	mutacin	no
SMU_286	Competence/mutacin	yes
SMU_287	Competence/mutacin	no
gapC	Acidogenicity	yes
pgk	Acidogenicity	yes
lytR	TCS	yes
SMU_423	mutacin	yes
SMU_486	TCS	no
SMU_487	TCS	yes
comF	Competence	yes
SMU_499	Competence	yes
SMU_518	Competence	yes
lytS	TCS	yes
spaP	Adhesion	no
comE	TCS/Competence	no
SMU_626	Competence	no
SMU_644	Competence	yes
SMU_659	TCS	yes
SMU_660	TCS	no
gbpD	Adhesion	yes
msmF	Acidogenicity	no
gtfD	Adhesion	no
SMU_925	mutacin	yes
SMU_927	TCS	yes
SMU_928	TCS	yes
wapA	Adhesion	no
gtfB	Adhesion	no
gtfC	Adhesion	no
SMU_1037c	TCS	no
SMU_1038c	TCS	no
ffh	Acidurity	no
SMU_1108c	TCS	no
SMU_1109c	TCS	no
ldh	Acidogenicity	yes
ciaH	TCS	yes
ciaR	TCS	yes
SMU_1145c	TCS	no
scnR	TCS	yes
SMU_1146c	TCS	yes
eno	Acidogenicity	yes
adcA	Adhesion	no
gbpC	Adhesion	no
covS	TCS	yes
covR	TCS	yes
endA	Competence	yes
atpA	Acidurity	yes
glgA	Nutriend reservation	yes
glgD	Nutriend reservation	yes
glgC	Nutriend reservation	yes
glgB	Nutriend reservation	yes
pulA	Acidogenicity	yes
SMU_1547c	TCS	yes
SMU_1548c	TCS	yes
dltC	Acidurity	yes
scnK	TCS	no
scrA	Acidogenicity	yes
scrB	Acidogenicity	no
SMU_1854	Competence	yes
SMU_1855	Competence	yes
SMU_1881c	Competence/mutacin	yes
SMU_1913c	mutacin	yes
SMU_1914c	mutacin	yes
comC	Competence	no
comD	TCS/Competence	no
SMU_1964c	TCS	yes
SMU_1965c	TCS	yes
SMU_1981c	Competence	no
comYD	Competence	yes
comYC	Competence	no
comYB	Competence	yes
comYA	Competence	no
comX1	Competence	yes
sacB	Nutriend reservation	no
dexA	Acidogenicity	yes
SMU_2075c	Competence	yes
SMU_2080	Competence	no
SMU_2081	Competence	no
cinA	Competence	yes
gbpA	Adhesion	no
htrA	Competence	no
gcrR	TCS	yes
comEA	Competence	yes
