Individual Id	Archaeological ID	Capture ID	Country	Site	Latitude	Longitude	Culture/Period	Radiocarbon Dating	Approximate Chronology	C14 Uncalibrated	C14 Uncalibrated Variation	C14 Calibrated From	C14 Calibrated To	C14 Id	C14 Dated?	Plot From	Plot To	Plot Mid	Region
ALM029	AY-104	ALM029.A0101.SM1	Spain	La Almoloya	37.9528	-1.5082	"Bronze Age, El Argar"	-	1750-1550 BCE	-	-	-	-	-	No	-1750	-1550	-1650	Iberia
CDL001	Castillo de Lorca Loct4	CDL001.A0201.SM1	Spain	Castillo de Lorca	37.6775	-1.7058	"Bronze Age, El Argar"	-	2000-1550 BCE	-	-	-	-	-	No	-2000	-1550	-1775	Iberia
CLL006	Lech 8	CLL006.A0101.SM1	Spain	Cueva de las Lechuzas	38.6303	-0.863	Late Neolithic-Chalcolithic	-	3300-2300 BCE	-	-	-	-	-	No	-3300	-2300	-2800	Iberia
CMS002	54	CMS002.A0201.SM1	Portugal	Concheiro da Moita do Sebastao	39.102	-8.7099	Mesolithic	-	6000-5300 BCE	-	-	-	-	-	No	-6000	-5300	-5650	Iberia
EFA011	FA7-1961	EFA011.A0201.SM1	Spain	Es Forat de ses Aritges	40.0049	3.8616	Late Bronze Age	-	1200-1000 BCE	-	-	-	-	-	No	-1200	-1000	-1100	Iberia
I0220	Cerdanyola	XXX001.A161274.SM1	Spain	Paris_Street	41.4919	2.1389	"Chalcolithic, Bell Beaker"	-	2850-2250 BCE	-	-	-	-	-	No	-2850	-2250	-2550	Iberia
I0405	Mina3	XXX001.A16571.SM1	Spain	La_Mina	41.2522	-2.3262	Middle Neolithic	-	3900-3600 BCE	-	-	-	-	-	No	-3900	-3600	-3750	Iberia
I0556	QLB2A	XXX001.A161116.SM1	Germany	Quedlinburg	51.7868	11.1535	"Middle Neolithic, Baalberge culture"	-	3950-3400 BCE	-	-	-	-	-	No	-3950	-3400	-3675	Central Europe
I0763	Oakington1375	XXX001.A161133.SM1	England	Oakington	52.2614	0.0687	Medieval	-	400-600 CE	-	-	-	-	-	No	400	600	500	Northern Europe
I0791	LintonSk351	XXX001.A161161.SM1	England	Linton	52.0991	0.277	Medieval	"1205 ± 30 (SUERC-20250), 635-937 calCE"	-	1205	30	635	937	SUERC-20250	Yes	635	937	786	Northern Europe
I0796	KAR11B	XXX001.A161166.SM1	Germany	Karsdorf	51.2831	11.65	"Early Neolithic, LBK"		5500-4850 BCE	-	-	-	-	-	No	-5500	-4850	-5175	Central Europe
I0966	Huaca Pucllana Ychsma	XXX001.A161233.SM1	Peru	Huaca_Pucllana	-12.115	-77.0335	"Late Intermediate Period, Ychsma culture"		1000-1450 CE	-	-	-	-	-	No	1000	1450	1225	Americas
I0970	Huaca Pucllana Wari	XXX001.A161237.SM1	Peru	Huaca_Pucllana	-12.115	-77.0335	"Middle Horizon, Wari culture"		800-1000 CE	-	-	-	-	-	No	800	1000	900	Americas
I0972	Huaca Pucllana Ychsma	XXX001.A161239.SM1	Peru	Huaca_Pucllana	-12.115	-77.0335	"Late Intermediate Period, Ychsma culture"		1000-1450 CE	-	-	-	-	-	No	1000	1450	1225	Americas
I1538	ESP20	XXX001.A161330.SM1	Germany	Esperstedt	51.4235	11.6736	Corded Ware	"4008 ± 22 (MAMS-34272), 2574-2470 calBCE"	2800-2200 BCE	4008	22	-2574	-2470	MAMS-34272	Yes	-2574	-2470	-2522	Central Europe
I1553	Cerdanyola	XXX001.A161345.SM1	Spain	Paris_Street	41.4919	2.1389	"Chalcolithic, Bell Beaker"	-	2850-2250 BCE	-	-	-	-	-	No	-2850	-2250	-2550	Iberia
IKI023	SK 624	IKI023.A0102.SM1	Turkey	İkiztepe	41.6137	35.8711	Chalcolithic	-	3500-3000 BCE	-	-	-	-	-	No	-3500	-3000	-3250	Anatolia
PAN049	DA3135_77	PAN049.A0101.SM1.1	Spain	Panoría	37.3504	-3.2934	Late Neolithic	-	3500-3300 BCE	-	-	-	-	-	No	-3500	-3300	-3400	Iberia
REN010	JK1939	REN010.A0102.SM1	Finland	Renko	60.8936	24.287	Late Medieval/Early Modern Period	-	~1770 CE	-	-	-	-	-	No	1770	1770	1770	Northern Europe
SGA024	San Gregorio U69 93-94 Ent. 275	SGA024.B0102.SM1	Mexico	San Gregorio Atlapulco	19.2511	-99.0556	Siglos XVI y XVII	-	1410-1641 CE	-	-	-	-	-	No	1410	1641	1525.5	Americas
SJN032	Caja Calotas SN	SJN032.A0101.SM1	Mexico	Hospital Real de San José de los Naturales	19.4313	-99.1416	Siglos XVI y XVII	-	1500-1700 CE	-	-	-	-	-	No	1500	1700	1600	Americas
