South_Africa	Africa	#F9DC5C	o
China	Asia	#E0D3DE	o
Japan	Asia	#E0D3DE	^
Turkey	Asia	#E0D3DE	s
Bangladesh	Asia	#E0D3DE	p
South_Korea	Asia	#E0D3DE	P
United_Kingdom	Europe	#B2FFA9	o
Netherlands	Europe	#B2FFA9	^
Denmark	Europe	#B2FFA9	s
France	Europe	#B2FFA9	p
Iceland	Europe	#B2FFA9	P
Sweden	Europe	#B2FFA9	d
Germany	Europe	#B2FFA9	*
Italy	Europe	#B2FFA9	X
USA	North_America	#20A39E	o
Canada	North_America	#20A39E	^
Papua_New_Guinea	Oceania	#EF5B5B	o
Brazil	South_America	#391463	o
Colombia	South_America	#391463	^
Unknown	Unknown	#6B6054	o
