Genome,Strain,Type
VLI009.B0103.SM1,VLI009.B0103.SM1,Ancient Mapping
VEN018.A0102.SM1,VEN018.A0102.SM1,Ancient Mapping
DON004.A0101.SM1,DON004.A0101.SM1,Ancient Mapping
GIN007.A0101.SM1,GIN007.A0101.SM1,Ancient Mapping
SJN015.B0101.SM1,SJN015.B0101.SM1,Ancient Mapping
EHU002.A0201.SM1,EHU002.A0201.SM1,Ancient Mapping
REN010.A0102.SM1,REN010.A0102.SM1,Ancient Mapping
SCA003.A0102.SM1,SCA003.A0102.SM1,Ancient Mapping
VLI061.B0102.SM1,VLI061.B0102.SM1,Ancient Mapping
PGL001.A0103.SM1,PGL001.A0103.SM1,Ancient Mapping
KIV006.A0101.SM1,KIV006.A0101.SM1,Ancient Mapping
SGA024.B0102.SM1,SGA024.B0102.SM1,Ancient Mapping
PRU003.A0102.SM1,PRU003.A0102.SM1,Ancient Mapping
ALM029.A0101.SM1,ALM029.A0101.SM1,Ancient Mapping
VIL009.A0102.SM1,VIL009.A0102.SM1,Ancient Mapping
KPT003.A0101.SM1,KPT003.A0101.SM1,Ancient Mapping
REV004.A0102.SM1,REV004.A0102.SM1,Ancient Mapping
GIN005.A0101.SM1,GIN005.A0101.SM1,Ancient Mapping
FAM009.A0102.SM1,FAM009.A0102.SM1,Ancient Mapping
PLI001.A0101.SM1,PLI001.A0101.SM1,Ancient Mapping
KIV002.A0101.SM1,KIV002.A0101.SM1,Ancient Mapping
FAR004.A0104.SM1,FAR004.A0104.SM1,Ancient Mapping
IKI023.A0102.SM1,IKI023.A0102.SM1,Ancient Mapping
TIL003.A0101.SM1,TIL003.A0101.SM1,Ancient Mapping
OBK010.A0101.SM1,OBK010.A0101.SM1,Ancient Mapping
XAN005.A0102.SM1,XAN005.A0102.SM1,Ancient Mapping
OSS001.A0101.SM1,OSS001.A0101.SM1,Ancient Mapping
SJN032.A0101.SM1,SJN032.A0101.SM1,Ancient Mapping
