SNP statistics for 76 samples.
Quality Threshold: 30.0
Coverage Threshold: 5
Minimum SNP allele frequency: 0.9
sample	SNP Calls (all)	SNP Calls (het)	coverage(fold)	coverage(percent)	refCall	allPos	noCall	discardedRefCall	discardedVarCall	filteredVarCall	unhandledGenotype
VEN018.A0102.SM1	10313	81	69.28	85.52	1728175	2032925	263040	30401	991	4	1
REV004.A0102.SM1	12563	5963	28.74	86.72	1750485	2032925	185963	82052	1855	3	4
PRU003.A0102.SM1	14246	8147	45.73	85.03	1714366	2032925	233735	68862	1693	3	20
VET009.A0101.SM1	3785	3	4.18	41.69	843685	2032925	420830	758616	6008	1	0
OBK010.A0101.SM1	9688	3666	17.45	75.91	1533585	2032925	288450	197503	3689	2	8
LOT001.A0201.SM1	4798	9	4.98	48.47	980488	2032925	391597	650585	5457	0	0
KIV007.A0101.SM1	679	13	1.62	9.560000000000002	193764	2032925	847678	984526	6278	0	0
XXX001.A16566.SM1	2097	24	2.61	21.840000000000003	441987	2032925	582053	999055	7733	0	0
XXX001.A161133.SM1	5	0	0.24	0.04999999999999716	1011	2032925	1657825	371741	2343	0	0
SGA024.B0102.SM1	12070	4678	48.09	86.08	1737789	2032925	233410	48198	1446	4	8
REN010.A0102.SM1	13165	6070	57.06	87.2	1759581	2032925	208866	49619	1676	6	12
XXX001.A161176.SM1	15	0	0.49	0.29000000000000625	5923	2032925	1358530	664279	4178	0	0
XXX001.A161364.SM1	1022	3	2.05	11.61	234930	2032925	582332	1206101	8540	0	0
KIV006.A0101.SM1	15139	9501	50.31	86.87	1750940	2032925	198094	66882	1850	4	16
FAR004.A0104.SM1	11172	1830	22.44	80.53999999999999	1626114	2032925	260288	132154	3192	3	2
VLI061.B0102.SM1	10367	57	52.9	82.17	1660157	2032925	293281	67853	1260	5	2
VLI009.B0103.SM1	10902	51	75.75	84.28999999999999	1702685	2032925	283700	34570	1065	3	0
IKI023.A0102.SM1	10401	3445	19.27	79.55	1606778	2032925	278897	133793	3046	2	8
TIT012.A0103.SM1	7891	16	11.44	74.68	1510270	2032925	309325	202713	2723	3	0
EFA011.A0201.SM1	9539	3232	11.8	78.63	1589026	2032925	243279	186247	4825	3	6
XXX001.A161241.SM1	388	3	1.4	5.030000000000001	101819	2032925	784096	1139847	6775	0	0
XXX001.A161233.SM1	3290	4	3.8	36.86	746109	2032925	419375	857976	6175	0	0
FUT008.A0102.SM1	30	0	0.58	0.37999999999999545	7736	2032925	1271049	748518	5592	0	0
XXX001.A161116.SM1	2	0	0.21	0.04000000000000625	885	2032925	1719873	309762	2403	0	0
XXX001.A16575.SM1	8195	3284	13.1	67.35	1361036	2032925	362305	297196	4181	5	7
XXX001.A161161.SM1	1007	2	2.06	12.180000000000007	246503	2032925	589266	1188210	7939	0	0
XXX001.A161239.SM1	4217	488	4.94	49.12	994303	2032925	342878	684920	6606	1	0
XXX001.A16571.SM1	5931	326	12.03	61.36	1241378	2032925	435164	347087	3363	2	0
XXX001.A161237.SM1	2311	220	3.45	32.22	652745	2032925	446768	923611	7489	0	1
XXX001.A161358.SM1	5906	1057	6.36	61.32	1240688	2032925	343905	436057	6365	2	2
BOT005.A0101.SM1	5767	690	5.95	58.93	1192297	2032925	325376	503245	6238	0	2
XXX001.A161274.SM1	7550	27	9.25	67.18	1358082	2032925	353874	310200	3216	3	0
XXX001.A161155.SM1	246	1	1.26	3.1200000000000045	63240	2032925	809895	1152341	7203	0	0
CMS002.A0201.SM1	126	0	0.93	2.3599999999999994	47935	2032925	1068734	910397	5733	0	0
OSS001.A0101.SM1	9708	4126	15.3	79.34	1603157	2032925	249129	166236	4688	4	3
KPT003.A0101.SM1	10597	555	31.55	83.24	1681666	2032925	236522	102260	1876	4	0
XXX001.A161114.SM1	4	0	0.14	0.04000000000000625	822	2032925	1815500	214908	1691	0	0
CLL006.A0101.SM1	8447	1614	10.3	73.73	1490478	2032925	293076	236345	4572	3	4
ZAP001.A0201.SM1	56	0	0.81	0.8400000000000034	16999	2032925	1062822	946534	6514	0	0
EHU002.A0201.SM1	10178	68	58.02	81.53999999999999	1647505	2032925	295882	77987	1368	4	1
TIL003.A0101.SM1	9618	14	17.46	78.86	1593621	2032925	309141	118582	1961	2	0
SJN015.B0101.SM1	9517	347	60.39	85.83	1735337	2032925	184597	102228	1242	3	1
XXX001.A161110.SM1	13	1	0.43	0.1700000000000017	3463	2032925	1409373	615560	4516	0	0
CCA002.B0201.SM1	2109	306	3.15	28.069999999999993	568591	2032925	515530	938204	8489	0	2
XXX001.A161384.SM1	13	0	0.28	0.14000000000000057	2774	2032925	1602636	424522	2980	0	0
KIV002.A0101.SM1	15071	10485	22.71	85.72	1727542	2032925	166461	120252	3577	4	18
ALA002.B0102.SM1	1434	1	2.32	17.540000000000006	355092	2032925	622498	1046918	6982	1	0
MK5008.B0101.SM1	4825	1242	5.37	52.86	1069713	2032925	327299	623171	7913	2	2
GIN007.A0101.SM1	10444	72	64.55	82.75	1671817	2032925	313250	36334	1074	4	2
SCA003.A0102.SM1	10292	49	55.55	82.42	1665325	2032925	307670	48429	1205	4	0
CDL001.A0201.SM1	8183	1299	10.41	74.17	1499668	2032925	275183	245604	4285	1	1
XXX001.A161183.SM1	4579	16	4.55	47.92	969626	2032925	400562	652242	5916	0	0
SJN032.A0101.SM1	8679	12	14.82	77.23	1561320	2032925	310565	150183	2176	2	0
XXX001.A161173.SM1	579	2	1.61	7.409999999999997	149991	2032925	739011	1135630	7714	0	0
XAN005.A0102.SM1	9027	113	17.24	79.24	1601850	2032925	269224	150567	2253	4	0
PVA001.A0101.SM1	2253	4	2.98	25.67	519516	2032925	440425	1063283	7448	0	0
VIL009.A0102.SM1	10082	201	33.68	82.28	1662597	2032925	266797	91880	1565	4	0
MMI002.A0201.SM1	277	26	1.6	6.099999999999994	123814	2032925	660610	1237813	10411	0	0
XXX001.A161330.SM1	40	10	0.55	0.4000000000000057	7993	2032925	1322391	698028	4473	0	0
XXX001.A161123.SM1	4092	33	4.25	44.37	897890	2032925	389971	734822	6148	2	0
TON003.A0102.SM1	86	1	0.77	1.3400000000000034	27143	2032925	1156296	843712	5688	0	0
MIB002.A0102.SM1	508	64	2.0	11.0	223097	2032925	580386	1215865	13069	0	0
ALM029.A0101.SM1	10446	1176	40.48	85.16	1720868	2032925	240310	59637	1660	3	1
XXX001.A161203.SM1	38	1	0.61	0.4399999999999977	8875	2032925	1227804	790899	5309	0	0
XXX001.A161166.SM1	1822	4	2.52	18.840000000000003	381110	2032925	551461	1090676	7855	1	0
PLI001.A0101.SM1	9881	637	24.16	81.23	1641444	2032925	267882	111601	2111	5	1
XXX001.A161129.SM1	1963	188	3.04	26.769999999999996	542202	2032925	444118	1036075	8566	1	0
VEK006.A0101.SM1	229	1	1.21	2.8400000000000034	57534	2032925	831877	1136269	7016	0	0
DON004.A0101.SM1	11655	2642	68.95	85.99	1736494	2032925	251370	32041	1357	3	5
OOH016.A0102.SM1	7929	23	8.77	72.22	1460250	2032925	342901	219099	2742	4	0
GIN005.A0101.SM1	9611	1911	27.81	84.74	1713150	2032925	200548	107359	2249	3	5
PIE034.B0101.SM1	10204	4345	14.12	79.21000000000001	1600042	2032925	260861	157810	3997	2	9
PGL001.A0103.SM1	10170	316	50.41	85.46000000000001	1727234	2032925	219648	74497	1372	4	0
XXX001.A161345.SM1	7601	44	10.18	70.23	1420169	2032925	331406	270972	2773	4	0
PAN049.A0101.SM1	10687	5602	14.09	80.35	1622795	2032925	253701	141181	4545	2	14
KGH-2B_merged	10656	26	29.56	87.71000000000001	1772439	2032925	233306	15292	1228	4	0
