,strain,serotype,serovar,isolation_source,country,state,collection_date,type_material,culture_collection,note,concat_pub
GCF_012642055.1,UAB-25,C,NA,saliva,USA,Alabama,2007-06-11,NA,NA,NA," 1. Momeni,S.S., Beno,S.M., Baker,J.L., Edlund,A., Ghazal,T., Childers,N.K. and Wu,H.  Caries-Associated Biosynthetic Gene Clusters in Streptococcus mutans. J Dent Res 99 (8), 969-976 (2020). 2. Momeni,S. and Childers,N.K.  Direct Submission. Submitted (13-DEC-2018) Pediatric Dentistry, University of Alabama at Birmingham, LHRB 238, 701 19th Street South, Birmingham, AL 35294-0007, USA. "
GCF_032380255.1,07TFb2,NA,NA,saliva,France,CHUBordeaux,2019-04-20/2021-04-06,NA,NA,NA," 1. Claisse,O., Samot,J., Donnet,L., Le Henaff,C. and Badet,M.-C.  Diversity of Streptococcus mutans in Parkinsonians'. Unpublished. 2. Claisse,O., Samot,J., Donnet,L., Le Henaff,C. and Badet,M.-C.  Direct Submission. Submitted (11-JUL-2022) Microbiologie, UR oenologie, 210 chemin de leysotte, Villenave d'Ornon 33140, France. "
GCF_028326165.1,1001174st1_D5_RTP21191_200730,NA,NA,NA,USA,NA,2020-07-30,NA,NA,NA," 1. Chen-Liaw,A.  Human gut microbiome strain richness. Unpublished. 2. Chen-Liaw,A.  Direct Submission. Submitted (19-JAN-2023) Precision Immunology Institute, Icahn School of Medicine, 1470 Madison Ave, New York, NY 10029, USA. "
GCF_000229405.1,TCI-210,NA,NA,dental plaque,Brazil,NA,2009,NA,NA,NA," 1. Snesrud,E.C., Bretz,W.A., Ong,K., Liu,J., Sanka,R., Singh,I., Venepally,P. and Peterson,S.N.  Direct Submission. Submitted (26-SEP-2011) The J. Craig Venter Institute, 9704 Medical Center Dr., Rockville, MD 20850, USA. "
GCF_012641575.1,UAB-15,K,NA,plaque,USA,Alabama,2008-03-04,NA,NA,NA," 1. Momeni,S.S., Beno,S.M., Baker,J.L., Edlund,A., Ghazal,T., Childers,N.K. and Wu,H.  Caries-Associated Biosynthetic Gene Clusters in Streptococcus mutans. J Dent Res 99 (8), 969-976 (2020). 2. Momeni,S. and Childers,N.K.  Direct Submission. Submitted (13-DEC-2018) Pediatric Dentistry, University of Alabama at Birmingham, LHRB 238, 701 19th Street South, Birmingham, AL 35294-0007, USA. "
GCF_021013185.1,B30,NA,NA,oral cavity,China,Beijing,2015-12-10,NA,NA,NA," 1. Zhang,Z., Wang,M., Hao,T., Zhang,Y. and Chen,Y.  Bacteria and fungi adopt different logics to synthesize diverse 3-acetylated tetramates for adaption. Unpublished. 2. Zhang,Y.  Direct Submission. Submitted (18-MAR-2021) Institute of Microbiology, Chinese Academy of Sciences, Beichen West Road, Beijing 100101, China. "
GCF_020531045.1,KSM37,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Komatsuzawa,H. and Matsuo,M.  Direct Submission. Submitted (07-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_012641885.1,UAB-35,C,NA,plaque,USA,Alabama,2010-11-30,NA,NA,NA," 1. Momeni,S.S., Beno,S.M., Baker,J.L., Edlund,A., Ghazal,T., Childers,N.K. and Wu,H.  Caries-Associated Biosynthetic Gene Clusters in Streptococcus mutans. J Dent Res 99 (8), 969-976 (2020). 2. Momeni,S. and Childers,N.K.  Direct Submission. Submitted (13-DEC-2018) Pediatric Dentistry, University of Alabama at Birmingham, LHRB 238, 701 19th Street South, Birmingham, AL 35294-0007, USA. "
GCF_014621675.1,B04Sm5,NA,NA,carious lesion,USA,NewYorkCity,2014,NA,NA,NA," 1. Baker,J.L. and Edlund,A.  Composite Long- and Short-Read Sequencing Delivers a Complete Genome Sequence of B04Sm5, a Reutericyclin- and Mutanocyclin-Producing Strain of Streptococcus mutans. Microbiol Resour Announc 9 (47), e01067-20 (2020). 2. Baker,J.L. and Edlund,A.  Direct Submission. Submitted (02-SEP-2020) Genomic Medicine, J. Craig Venter Institute, 4120 Capricorn Lane, La Jolla, CA 92037, USA. "
GCF_000522705.1,B24Sm2,NA,NA,oral cavity,USA,NA,2004,NA,NA,NA," 1. Argimon,S., Konganti,K., Chen,H., Alekseyenko,A.V., Brown,S. and Caufield,P.W.  Comparative genomics of oral isolates of Streptococcus mutans by in silico genome subtraction does not reveal accessory DNA associated with severe early childhood caries. Infect Genet Evol 21, 269-278 (2014). 2. Argimon,S., Brown,S. and Caufield,P.  Direct Submission. Submitted (22-AUG-2012) New York University College of Dentistry, 345 East 24th St, New York, NY 10010, USA. "
