SNP statistics for 76 samples.
Quality Threshold: 30.0
Coverage Threshold: 5
Minimum SNP allele frequency: 0.9
sample	SNP Calls (all)	SNP Calls (het)	coverage(fold)	coverage(percent)	refCall	allPos	noCall	discardedRefCall	discardedVarCall	filteredVarCall	unhandledGenotype
VEN018.A0102.SM1	10663	91	77.01	87.37	1765502	2032925	239245	16574	936	4	1
REV004.A0102.SM1	13256	6500	32.17	89.53999999999999	1807099	2032925	157425	53465	1667	6	7
PRU003.A0102.SM1	14937	8715	50.55	86.92	1752009	2032925	211453	52959	1540	3	24
VET009.A0101.SM1	4551	10	4.97	51.19	1036094	2032925	324353	662057	5861	9	0
OBK010.A0101.SM1	10628	4434	20.18	80.21000000000001	1619897	2032925	248735	150120	3521	15	9
LOT001.A0201.SM1	5598	24	5.88	57.59	1165153	2032925	306510	550436	5227	1	0
KIV007.A0101.SM1	1196	173	2.23	14.819999999999993	300078	2032925	645379	1078903	7344	22	3
XXX001.A16566.SM1	2609	40	3.03	27.22	550674	2032925	486724	985044	7872	2	0
XXX001.A161133.SM1	6	0	0.29	0.06999999999999318	1443	2032925	1582470	446254	2752	0	0
SGA024.B0102.SM1	12732	5006	54.08	88.65	1789535	2032925	202317	27026	1303	4	8
REN010.A0102.SM1	13769	6609	63.36	89.22	1800029	2032925	184343	33179	1574	18	13
XXX001.A161176.SM1	18	0	0.58	0.4099999999999966	8235	2032925	1247824	772020	4828	0	0
XXX001.A161364.SM1	1344	30	2.43	15.599999999999994	315775	2032925	451322	1255242	9239	3	0
KIV006.A0101.SM1	15728	10013	56.21	88.98	1793201	2032925	173353	48948	1672	5	18
FAR004.A0104.SM1	12347	2207	27.09	86.0	1735991	2032925	208940	72879	2759	6	3
VLI061.B0102.SM1	10802	62	58.61	84.48	1706564	2032925	263556	50819	1177	5	2
VLI009.B0103.SM1	11293	59	82.93	86.05	1738054	2032925	260670	21890	1015	3	0
IKI023.A0102.SM1	11183	4023	22.06	83.35	1683188	2032925	243412	92305	2824	6	7
TIT012.A0103.SM1	8614	19	13.41	81.16	1641368	2032925	257479	123021	2440	3	0
